 portfolio_name,sedol,invariant_id,sec_desc,market,currency,country,sector,subsector,industry,subindustry
MSACIMIUSD,B5PGG21,Z915P2HD4,DA MING INTL.HOLDINGS,HKG,HKD,CHN,Materials,Materials,Metals & Mining,Steel
MSACIMIUSD,B5PJ0N9,Z915P2HH5,ENBRIDGE INCOME FD.HDG. UT.,CAN,CAD,CAN,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Storage & Transportation
MSACIMIUSD,B5Q3K41,Z915P2JG5,NORTEK,USA,USD,USA,Industrials,Capital Goods,Building Products,Building Products
MSACIMIUSD,B5SG8Y4,Z915P2L72,BIZLINK HOLDING,TWN,TWD,TWN,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
MSACIMIUSD,B5SZFJ5,Z915P2N39,AGUNG PODOMORO LAND,IDN,IDR,IDN,Financials,Real Estate,Real Estate Management & Development,Real Estate Development
MSACIMIUSD,B5T7VM5,Z915P2PT0,TPK HOLDING,TWN,TWD,TWN,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Components
MSACIMIUSD,B5TRVW5,Z915P2RP6,INPHI,USA,USD,USA,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
MSACIMIUSD,B75JX34,Z915P2S42,LPL FINANCIAL HOLDINGS,USA,USD,USA,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
MSACIMIUSD,B5TZQH9,Z915P2SF7,AUTOCANADA,CAN,CAD,CAN,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
MSACIMIUSD,B5VHWB9,Z915P2V71,XUEDA EDUCATION GP.ADR 1:2,USA,USD,CHN,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
MSACIMIUSD,B5VJ0F5,Z915P2V89,VARD HOLDINGS,SGP,SGD,SGP,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
MSACIMIUSD,B5VR4H9,Z915P2WG0,HOWARD HUGHES,USA,USD,USA,Financials,Real Estate,Real Estate Management & Development,Real Estate Development
MSACIMIUSD,B5VSTM2,Z915P2WX3,AB SCIENCE,FRA,EUR,FRA,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
MSACIMIUSD,B5VVFL2,Z915P2X95,GOODBABY INTL.HOLDINGS,HKG,HKD,CHN,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
MSACIMIUSD,B5VZ053,Z915P2Y03,SALVATORE FERRAGAMO,ITA,EUR,ITA,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
MSACIMIUSD,B5WDTK4,Z915P30B4,SUNDAYTOZ,KOR,KRW,KOR,Information Technology,Software & Services,Software,Application Software
MSACIMIUSD,B5WFLQ0,Z915P30D0,WHISTLER BLACKCOMB HDG.,CAN,CAD,CAN,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Leisure Facilities
MSACIMIUSD,BLTFR23,Z915P30J7,UNITED FINANCIAL BANCORP,USA,USD,USA,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
