 invariant_id,quote_type,quote_value,currency
Z913Y12D7,COMPMC,       10601304375.001176,USD
Z913Y12D7,PCLOSE,                 5.899999,AUD
Z913Y12D7,TOTRET,                 0.012006,AUD
Z913Y12D7,TRDVOL,           4327887.000000,AUD
Z913Y12E5,COMPMC,       12682344585.157657,USD
Z913Y12E5,PCLOSE,                12.949999,AUD
Z913Y12E5,TOTRET,                 0.007782,AUD
Z913Y12E5,TRDVOL,           3408292.000000,AUD
Z913Y12F2,COMPMC,       17801891156.251976,USD
Z913Y12F2,PCLOSE,                12.149999,AUD
Z913Y12F2,TOTRET,                -0.013659,AUD
Z913Y12F2,TRDVOL,           6007809.000000,AUD
Z913Y12H8,COMPMC,        2511122994.678012,USD
Z913Y12H8,PCLOSE,                 5.369999,AUD
Z913Y12H8,TOTRET,                -0.001722,AUD
Z913Y12H8,TRDVOL,            954395.000000,AUD
Z913Y12J4,COMPMC,         691322033.837967,USD
Z913Y12J4,PCLOSE,                 0.699999,AUD
Z913Y12J4,TOTRET,                 0.000000,AUD
Z913Y12J4,TRDVOL,           3877731.000000,AUD
Z913Y12K1,COMPMC,        3910127926.562933,USD
Z913Y12K1,PCLOSE,                 9.979999,AUD
Z913Y12K1,TOTRET,                 0.010121,AUD
Z913Y12K1,TRDVOL,           1609892.000000,AUD
Z913Y12L9,COMPMC,        3741573822.656665,USD
Z913Y12L9,PCLOSE,                 9.100000,AUD
Z913Y12L9,TOTRET,                -0.014963,AUD
Z913Y12L9,TRDVOL,           2972672.000000,AUD
Z913Y12M7,COMPMC,         264464817.919951,USD
Z913Y12M7,PCLOSE,                 1.010000,AUD
Z913Y12M7,TOTRET,                -0.024154,AUD
Z913Y12M7,TRDVOL,            162800.000000,AUD
Z913Y12N5,COMPMC,        6149501642.969432,USD
Z913Y12N5,PCLOSE,                44.130004,AUD
Z913Y12N5,TOTRET,                 0.002271,AUD
Z913Y12N5,TRDVOL,            386956.000000,AUD
Z913Y12P0,COMPMC,        3612887078.906651,USD
Z913Y12P0,PCLOSE,                 6.750000,AUD
Z913Y12P0,TOTRET,                 0.012112,AUD
Z913Y12P0,TRDVOL,           1947500.000000,AUD
Z913Y12Q8,COMPMC,        5691208357.031881,USD
Z913Y12Q8,PCLOSE,                12.409999,AUD
Z913Y12Q8,TOTRET,                 0.001666,AUD
Z913Y12Q8,TRDVOL,           2122837.000000,AUD
Z913Y12R6,COMPMC,         191766423.779318,USD
Z913Y12R6,PCLOSE,                 1.345000,AUD
Z913Y12R6,TOTRET,                -0.032374,AUD
Z913Y12R6,TRDVOL,            204341.000000,AUD
Z913Y12S4,COMPMC,        2527681382.129186,USD
Z913Y12S4,PCLOSE,                34.800003,AUD
Z913Y12S4,TOTRET,                -0.030640,AUD
Z913Y12S4,TRDVOL,            831351.000000,AUD
Z913Y12U9,COMPMC,        1161889175.048957,USD
Z913Y12U9,PCLOSE,                 3.800000,AUD
Z913Y12U9,TOTRET,                -0.007488,AUD
Z913Y12U9,TRDVOL,           1224556.000000,AUD
Z913Y12W5,COMPMC,        9174051334.961956,USD
Z913Y12W5,PCLOSE,                38.660003,AUD
Z913Y12W5,TOTRET,                -0.004282,AUD
Z913Y12W5,TRDVOL,            649535.000000,AUD
Z913Y12X3,COMPMC,         271243168.896514,USD
Z913Y12X3,PCLOSE,                 0.220000,AUD
Z913Y12X3,TOTRET,                -0.022222,AUD
Z913Y12X3,TRDVOL,           2512527.000000,AUD
