INVARIANT_ID,pb_fy0
Z913Y11C0,3.2357721196503606
Z913Y11D8,1.2847466724347818
Z913Y11E6,0.5722573762891994
Z913Y11F3,5.946717411988582
Z913Y11G1,3.2967758912190384
Z913Y11J5,1.2855739049963268
Z913Y11K2,-30.37574669361763
Z913Y11L0,1.424644426679435
Z913Y11M8,1.3438912626929203
Z913Y11N6,1.92814017576841
Z913Y11P1,1.2295146173492655
Z913Y11Q9,1.5258053157776803
Z913Y11S5,1.16801182595911
Z913Y11W6,0.3745637421231217
Z913Y11X4,3.1349831883503043
Z913Y11Z9,2.1833737935934634
Z913Y1205,1.8320330582260114
Z913Y1213,1.1722084119946812
Z913Y1221,2.490468499010182
Z913Y1239,2.5731668081265795
Z913Y1254,0.7999503545961753
Z913Y1270,4.906549290890808
Z913Y1288,1.953743631177714
Z913Y1296,1.8664299729606852
Z913Y12A3,2.1445321778048227
Z913Y12B1,1.908803914827022
Z913Y12C9,1.464013771299968
Z913Y12D7,2.107552599671921
Z913Y12E5,1.2133778970471292
Z913Y12F2,4.833856329733453
Z913Y12G0,0.025348266445435377
Z913Y12H8,3.0270870476200735
Z913Y12J4,1.6965766852661741
Z913Y12K1,0.9479269412636439
Z913Y12L9,2.012799227085097
Z913Y12M7,0.7073143895905091
Z913Y12N5,2.2635970797747937
Z913Y12P0,1.5020765020226092
Z913Y12Q8,8.646132851835134
Z913Y12R6,1.0270045933835579
Z913Y12S4,2.6187510964381335
Z913Y12U9,0.9088512815971551
Z913Y12W5,3.204900230421988
Z913Y12X3,1.8475379548558117
Z913Y12Y1,3.399960103730301
Z913Y1312,1.7579322039798397
Z913Y1320,1.3479976204338913
Z913Y1338,1.2477850479260508
Z913Y1346,2.414370894588677
Z913Y1353,1.2088718991167318
Z913Y1361,0.6414396956974199
Z913Y1379,1.78856679549914
Z913Y1387,1.239059603787369
Z913Y1395,2.268027740101799
Z913Y13A2,1.566501333274441
Z913Y13B0,0.8855564487190203
Z913Y13C8,4.264155616363187
Z913Y13D6,0.008948315569060585
Z913Y13E4,2.713144807014135
Z913Y13F1,4.70223252537177
Z913Y13G9,4.203457152351528
Z913Y13H7,0.44398128826266076
Z913Y13J3,0.45695151678029555
Z913Y13K0,1.5195912162393415
Z913Y13L8,1.583042713149016
Z913Y13M6,1.2044699586636511
Z913Y13N4,0.6081521949178937
Z913Y13P9,1.4616358953776174
Z913Y13Q7,1.5410849441167387
Z913Y13R5,1.5632829533133055
Z913Y13S3,5.229075603043548
Z913Y13T1,0.5844198214777121
Z913Y13U8,0.8479534942329666
Z913Y13W4,0.534422830111342
Z913Y13X2,0.4002140172769882
Z913Y13Y0,10.471029668411868
Z913Y13Z7,0.4695967469445642
Z913Y1403,1.0245370681644608
Z913Y1429,0.13033505116028224
Z913Y1437,0.07171907374529089
Z913Y1452,0.9182328357878051
Z913Y1460,2.4822654110696654
